id,pair_abbr,symbol,label,url,notes,added_at
953aadea-53e9-4fa0-bbbd-63cac47391a9,UZ,USDZAR,valid,https://www.tradingview.com/x/wTfMNHJw/,,2025-10-15
d8f7281c-c18c-4b27-9673-9ded7a682d30,XA,XAUUSD,valid,https://www.tradingview.com/x/f2mrjPTx/,,2025-10-15
02c8cbdb-e150-42c8-9176-02c2ac7c453e,UZ,USDZAR,valid,https://www.tradingview.com/x/sKcatRHa/,,2025-10-15
b46f8408-fd86-41b2-b132-9e568a4ec9c1,GU,GBPUSD,valid,https://www.tradingview.com/x/kDF9vPuO/,,2025-10-15
42088fa5-3c25-42f6-8c3f-59b01df83fe8,UZ,USDZAR,valid,https://www.tradingview.com/x/kbiekUTI/,,2025-10-15
5f213947-ff21-4904-90cd-91394ff7d8f2,AC,AUDCAD,valid,https://www.tradingview.com/x/WMh095zT/,,2025-10-15
c9f14310-37df-49b9-968c-004973051bd3,AC,AUDCAD,valid,https://www.tradingview.com/x/Cnu1Se5w/,,2025-10-15
e387b1fa-957f-4c9f-881c-a88d320197bc,AC,AUDCAD,valid,https://www.tradingview.com/x/krAtYw1F/,,2025-10-15
3bb974a9-3055-41c9-bb90-4e4308d51e8e,GU,GBPUSD,valid,https://www.tradingview.com/x/A4MCNoRO/,,2025-10-15
0492e170-d233-4cc8-b526-a1ccb0fdb95f,GU,GBPUSD,invalid,https://www.tradingview.com/x/vdTH9HIa/,Entries at levels to follow rules ,2025-10-15
067d5134-1fe6-45ad-a00b-2a5e9c215f57,XU,XAUUSD,invalid,https://www.tradingview.com/x/ELQLO7zX/,No contradicting trades ,2025-10-15
88a496f3-5b22-44e1-a62c-a50fe7681a42,UZ,USDZAR,invalid,https://www.tradingview.com/x/bURiy3Gw/,B set up,2025-10-15
19b9b70d-cef2-4c94-9584-417b9ca3ec6c,AC,AUDCAD,valid,https://www.tradingview.com/x/bhSOm27z/,,2025-10-15
b174c291-7a65-4040-aa2b-7826d3a79fb9,XU,XAUUSD,valid,https://www.tradingview.com/x/5rE0ugUD/,,2025-10-15
39d67508-d628-479d-87dd-cca767ee146b,AC,AUDCAD,invalid,https://www.tradingview.com/x/pcNp5cN3/,So extended ,2025-10-15
354179b5-9e08-401c-b8c4-de09f1ca017e,UZ,USDZAR,valid,https://www.tradingview.com/x/50zkhYBg/,"See flow of day in London, and just enjoy the ride of the week or day, no fear",2025-10-15
77b0dfe5-43eb-4fbf-9abd-3dd8c8c83d52,UZ,USDZAR,invalid,https://www.tradingview.com/x/cTUojbEJ/,"Be selfish, put your orders at R/S",2025-10-15
295f1155-45ad-4fba-a986-261bcef54b65,GU,GBPUSD,invalid,https://www.tradingview.com/x/A3gQ5jSt/,,2025-10-15
6cb7fb57-a388-463a-be67-5d7255312177,XU,XAUUSD,invalid,https://www.tradingview.com/x/MoVLed7h/,Es hätte so sein müssen ,2025-10-15
2184ec5a-89ed-463f-b988-f9b53fa918d8,GU,GBPUSD,valid,https://www.tradingview.com/x/dz4HOq6p/,,2025-10-15
632015a5-6ac9-4fd4-a787-df54743c5279,UZ,USDZAR,valid,https://www.tradingview.com/x/MDdBzXKp/,,2025-10-15
98922a43-1e98-47c3-aa37-30cad0217988,XU,XAUUSD,valid,https://www.tradingview.com/x/wbQ6rHur/,,2025-10-15
68e08db3-3831-4f33-88d8-b16f11a7feb1,XU,XAUUSD,valid,https://www.tradingview.com/x/nhwLgtAd/,,2025-10-15
4d6634fd-56b7-4ad8-bfa9-a0d52a02a040,AC,AUDCAD,invalid,https://www.tradingview.com/x/OyXqNO0P/,Ignore all kinds of over extensions ,2025-10-15
76ae5de1-cda2-4cb2-8575-96e119cca9a7,XU,XAUUSD,invalid,https://www.tradingview.com/x/a1Jey8eT/,Nicht schön,2025-10-15
588d09a5-eb67-459d-90ca-236948eabe03,XU,XAUUSD,valid,https://www.tradingview.com/x/Gd7pEB7U/,,2025-10-15
38aa1445-4a17-44c4-bccf-198d9d266fd6,AC,AUDCAD,invalid,https://www.tradingview.com/x/7t0evM7k/,,2025-10-15
cdd81e64-8acf-41f5-89c7-e4570dd90d1e,AC,AUDCAD,valid,https://www.tradingview.com/x/AL7hfgSw/,,2025-10-15
ab8c2e57-d581-4d51-8986-102ce7135598,XU,XAUUSD,valid,https://www.tradingview.com/x/uJltnRQG/,,2025-10-15
1b7f57e9-ead9-4b1f-b5b8-5841de76e220,GU,GBPUSD,invalid,https://www.tradingview.com/x/7tikHy6z/,,2025-10-15
6f316b8d-3f7a-4254-8675-874ccf4a5012,AC,AUDCAD,invalid,https://www.tradingview.com/x/mJvdQ4PY/,Hmmm,2025-10-15
e2438733-b97d-445e-ae75-b6afe17881be,XU,XAUUSD,valid,https://www.tradingview.com/x/YzjGe7Op/,,2025-10-15
5e2e74eb-a3ec-4543-8150-a5dd5577ebcf,XU,XAUUSD,valid,https://www.tradingview.com/x/qlQoQSUC/,Pooo,2025-10-15
1ce6c195-0852-488a-bd23-a684f2c6d4f0,AC,AUDCAD,valid,https://www.tradingview.com/x/xl5xUbkm/,,2025-10-15
b11c9882-2751-41cb-a439-76eca14fe9d4,UZ,USDZAR,valid,https://www.tradingview.com/x/Ao30B8XS/,,2025-10-15
47b4b9ad-e462-46fd-a235-0c2146359d7f,GU,GBPUSD,invalid,https://www.tradingview.com/x/Ar1C6xGs/,Respect trends,2025-10-15
7d84b782-8844-4676-a709-6d9206559664,AC,AUDCAD,valid,https://www.tradingview.com/x/akgHTNqj/,,2025-10-15
10591697-a300-4662-a814-98ad07b0933a,UZ,USDZAR,invalid,https://www.tradingview.com/x/Rb5ulmJz/,,2025-10-15
e3f6f5df-a086-4d67-aecd-72f4d14b5156,AC,AUDCAD,valid,https://www.tradingview.com/x/jAvZ8c1M/,,2025-10-15
961ebae7-438b-4d93-beb2-40e2c0a3b3c7,AC,AUDCAD,invalid,https://www.tradingview.com/x/vrSKPz01/,,2025-10-15
a92c3a9d-baa4-4f19-842d-84252f189c9f,AC,AUDCAD,valid,https://www.tradingview.com/x/uOlQqzGe/,,2025-10-15
d93337fc-3aab-4d5d-903e-684414ed8272,UZ,USDZAR,valid,https://www.tradingview.com/x/78Q9E7bo/,,2025-10-15
3966d615-e883-4c15-8bc5-8b752c4108d1,UZ,USDZAR,valid,https://www.tradingview.com/x/1VBsG6IE/,,2025-10-15
172ad67e-9aff-4b48-bdf1-df4c50a5c879,GU,GBPUSD,valid,https://www.tradingview.com/x/0q3YKFwp/,,2025-10-15
9ada2431-4c6b-4c10-a5a3-116110b04b66,XU,XAUUSD,invalid,https://www.tradingview.com/x/Ruqw0m9W/,"Entries only at levels, bye is bye",2025-10-15
258e8013-3b41-4580-8aa8-a53894c5f4ec,GU,GBPUSD,invalid,https://www.tradingview.com/x/yfpzeP7M/,"Trades always better at main levels. If to take such like previous trade, then has to be in the same trend direction.",2025-10-15
f6333c88-20a0-4831-b101-4a923470a996,GU,GBPUSD,valid,https://www.tradingview.com/x/B0PHcHLq/,B,2025-10-15
de1fc7cd-539d-4139-8210-678868297ab5,XA,XAUUSD,invalid,https://www.tradingview.com/x/2mDY3lXD/,Close losing trades,2025-10-15
6e0ed95f-964b-4dd0-854d-fcd5f6bf1059,GU,GBPUSD,invalid,https://www.tradingview.com/x/4GrdlJDI/,,2025-10-15
c07337b0-ffb7-4247-81a8-04243db44708,UZ,USDZAR,invalid,https://www.tradingview.com/x/eFvTQanU/,C set up,2025-10-15
c8b30f1b-c971-407b-9568-0528d1d42304,GU,GBPUSD,valid,https://www.tradingview.com/x/o0375Rg6/,,2025-10-15
dd9a567f-a8af-4188-97fd-5eb11f7a4220,UZ,USDZAR,invalid,https://www.tradingview.com/x/FAPBztNt/,"Very long side movement, get out ",2025-10-15
6e1a0f1a-2fb2-4187-9bc7-3e8b93808763,XU,XAUUSD,valid,https://www.tradingview.com/x/8n56KnDA/,,2025-10-15
c2fc9dba-6f46-445d-808d-b24fa4655c47,UZ,USDZAR,invalid,https://www.tradingview.com/x/EiJPtC5M/,,2025-10-15
25e5f524-966b-4409-baa8-ad7149b3d7dc,UZ,USDZAR,valid,https://www.tradingview.com/x/LSxAd1me/,,2025-10-15
